Term,Impressions,Position,CTR,CTR Percentile
term 1,19962,4.567647059,0.532647059,0.486
term 2,17399,6.640853659,0.596829268,0.506
term 3,38833,2.78988764,0.405842697,0.315
term 4,158413,3.322352941,0.268235294,0.184
term 5,36399,3.445864662,0.492030075,0.357
term 6,661938,7.679005525,0.504751381,0.479
term 7,5598,1.02,0.579,0.502
term 8,19428,1.166666667,0.231904762,0.142
term 9,40633,2.759,0.3784,0.285
term 10,4562,2.333333333,0.724126984,0.587
term 11,7706,2.025,0.49890625,0.357
term 12,14988,2.123214286,0.37875,0.285
term 13,15752,3.144230769,0.555961538,0.492
term 14,5244,2.233333333,0.321666667,0.222
term 15,7313,2.75,0.3785,0.285
term 16,24123,3.793175853,0.61023622,0.52
term 17,30487,2.206077348,0.47558011,0.352
term 18,21287,5.762732919,0.550496894,0.491
term 19,12858,1.3625,0.403888889,0.315
term 20,45113,8.20074813,0.663640898,0.532
term 21,8022,2.914516129,0.410322581,0.32
term 22,35371,3.528834356,0.710429448,0.587
term 23,17204,2.576,0.516,0.48
term 24,39028,6.630444444,0.635422222,0.526
term 25,352,3.854166667,0.73,0.587
term 26,1834,3.209090909,0.441818182,0.341
term 27,792,4.1,0.477272727,0.352
term 28,2125,3.054166667,0.535,0.486
term 29,3619,3.315254237,0.549152542,0.488
term 30,4028,4.124166667,0.649666667,0.529
term 31,373,4.602941176,0.745588235,0.59
term 32,135057,5.305343511,0.604885496,0.518
term 33,2265,4.007017544,0.582807018,0.504
term 34,8833,3.6,0.552857143,0.491
term 35,53741,3.55,0.573333333,0.502
